Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
39;Atenolol-M43;C20H30N2O10;458.190048;459.197873;457.182223;C(C(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1)OC2OC(C(O)=O)C(C(C2O)O)O;InChI=1S/C20H30N2O10/c1-10(8-31-20-17(27)15(25)16(26)18(32-20)19(28)29)22-7-12(23)9-30-13-4-2-11(3-5-13)6-14(21)24/h2-5,10,12,15-18,20,22-23,25-27H,6-9H2,1H3,(H2,21,24)(H,28,29);BioTransformer 3.0
40;Atenolol-M44;C20H30N2O10;458.190048;459.197873;457.182223;C(C(C)NCC(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2)O;InChI=1S/C20H30N2O10/c1-10(8-23)22-7-13(9-30-12-4-2-11(3-5-12)6-14(21)24)31-20-17(27)15(25)16(26)18(32-20)19(28)29/h2-5,10,13,15-18,20,22-23,25-27H,6-9H2,1H3,(H2,21,24)(H,28,29);BioTransformer 3.0
41;Atenolol-M45;C20H30N2O10;458.190048;459.197873;457.182223;C(C(C)NCC(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1)O;InChI=1S/C20H30N2O10/c1-10(8-23)21-7-12(24)9-31-13-4-2-11(3-5-13)6-14(25)22-19-17(28)15(26)16(27)18(32-19)20(29)30/h2-5,10,12,15-19,21,23-24,26-28H,6-9H2,1H3,(H,22,25)(H,29,30);BioTransformer 3.0
42;Atenolol-M46;C14H22N2O7S;362.114775;363.1226;361.10695;C(C(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1)OS(O)(=O)=O;InChI=1S/C14H22N2O7S/c1-10(8-23-24(19,20)21)16-7-12(17)9-22-13-4-2-11(3-5-13)6-14(15)18/h2-5,10,12,16-17H,6-9H2,1H3,(H2,15,18)(H,19,20,21);BioTransformer 3.0
43;Atenolol-M47;C14H22N2O7S;362.114775;363.1226;361.10695;C(C(C)NCC(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1)O;InChI=1S/C14H22N2O7S/c1-10(8-17)16-7-13(23-24(19,20)21)9-22-12-4-2-11(3-5-12)6-14(15)18/h2-5,10,13,16-17H,6-9H2,1H3,(H2,15,18)(H,19,20,21);BioTransformer 3.0
44;Atenolol-M48;C20H28N2O9;440.179483;441.187308;439.171658;C=C(C)NCC(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2;InChI=1S/C20H28N2O9/c1-10(2)22-8-13(9-29-12-5-3-11(4-6-12)7-14(21)23)30-20-17(26)15(24)16(25)18(31-20)19(27)28/h3-6,13,15-18,20,22,24-26H,1,7-9H2,2H3,(H2,21,23)(H,27,28);BioTransformer 3.0
45;Atenolol-M49;C20H28N2O9;440.179483;441.187308;439.171658;C=C(C)NCC(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1;InChI=1S/C20H28N2O9/c1-10(2)21-8-12(23)9-30-13-5-3-11(4-6-13)7-14(24)22-19-17(27)15(25)16(26)18(31-19)20(28)29/h3-6,12,15-19,21,23,25-27H,1,7-9H2,2H3,(H,22,24)(H,28,29);BioTransformer 3.0
46;Atenolol-M50;C14H20N2O6S;344.10421;345.112035;343.096385;C=C(C)NCC(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1;InChI=1S/C14H20N2O6S/c1-10(2)16-8-13(22-23(18,19)20)9-21-12-5-3-11(4-6-12)7-14(15)17/h3-6,13,16H,1,7-9H2,2H3,(H2,15,17)(H,18,19,20);BioTransformer 3.0
47;Atenolol-M51;C17H24N2O9;400.148183;401.156008;399.140358;NCC(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2;InChI=1S/C17H24N2O9/c18-6-10(7-26-9-3-1-8(2-4-9)5-11(19)20)27-17-14(23)12(21)13(22)15(28-17)16(24)25/h1-4,10,12-15,17,21-23H,5-7,18H2,(H2,19,20)(H,24,25);BioTransformer 3.0
48;Atenolol-M52;C17H24N2O9;400.148183;401.156008;399.140358;NCC(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1;InChI=1S/C17H24N2O9/c18-6-9(20)7-27-10-3-1-8(2-4-10)5-11(21)19-16-14(24)12(22)13(23)15(28-16)17(25)26/h1-4,9,12-16,20,22-24H,5-7,18H2,(H,19,21)(H,25,26);BioTransformer 3.0
49;Atenolol-M53;C11H16N2O6S;304.07291;305.080735;303.065085;NCC(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1;InChI=1S/C11H16N2O6S/c12-6-10(19-20(15,16)17)7-18-9-3-1-8(2-4-9)5-11(13)14/h1-4,10H,5-7,12H2,(H2,13,14)(H,15,16,17);BioTransformer 3.0
50;Atenolol-M54;C11H15NO4;225.100109;226.107934;224.092284;C(C(O)COC1=CC=C(CC(N)=O)C=C1)O;InChI=1S/C11H15NO4/c12-11(15)5-8-1-3-10(4-2-8)16-7-9(14)6-13/h1-4,9,13-14H,5-7H2,(H2,12,15);BioTransformer 3.0
51;Atenolol-M55;C11H13NO5;239.079374;240.087199;238.071549;C(C(O)COC1=CC=C(CC(N)=O)C=C1)(=O)O;InChI=1S/C11H13NO5/c12-10(14)5-7-1-3-8(4-2-7)17-6-9(13)11(15)16/h1-4,9,13H,5-6H2,(H2,12,14)(H,15,16);BioTransformer 3.0
52;Atenolol-M56;C17H21NO10;399.116549;400.124374;398.108724;C(C(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2)=O;InChI=1S/C17H21NO10/c18-11(20)5-8-1-3-9(4-2-8)26-7-10(6-19)27-17-14(23)12(21)13(22)15(28-17)16(24)25/h1-4,6,10,12-15,17,21-23H,5,7H2,(H2,18,20)(H,24,25);BioTransformer 3.0
53;Atenolol-M57;C17H21NO10;399.116549;400.124374;398.108724;C(C(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1)=O;InChI=1S/C17H21NO10/c19-6-9(20)7-27-10-3-1-8(2-4-10)5-11(21)18-16-14(24)12(22)13(23)15(28-16)17(25)26/h1-4,6,9,12-16,20,22-24H,5,7H2,(H,18,21)(H,25,26);BioTransformer 3.0
54;Atenolol-M58;C11H13NO7S;303.041276;304.049101;302.033451;C(C(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1)=O;InChI=1S/C11H13NO7S/c12-11(14)5-8-1-3-9(4-2-8)18-7-10(6-13)19-20(15,16)17/h1-4,6,10H,5,7H2,(H2,12,14)(H,15,16,17);BioTransformer 3.0
55;Atenolol-M59;C12H23NO8;309.142369;310.150194;308.134544;CC(C)NCC(CO)OC1OC(C(O)=O)C(C(C1O)O)O;InChI=1S/C12H23NO8/c1-5(2)13-3-6(4-14)20-12-9(17)7(15)8(16)10(21-12)11(18)19/h5-10,12-17H,3-4H2,1-2H3,(H,18,19);BioTransformer 3.0
56;Atenolol-M60;C12H23NO8;309.142369;310.150194;308.134544;CC(C)NCC(COC1OC(C(O)=O)C(C(C1O)O)O)O;InChI=1S/C12H23NO8/c1-5(2)13-3-6(14)4-20-12-9(17)7(15)8(16)10(21-12)11(18)19/h5-10,12-17H,3-4H2,1-2H3,(H,18,19);BioTransformer 3.0
57;Atenolol-M61;C6H15NO5S;213.067096;214.074921;212.059271;CC(C)NCC(COS(O)(=O)=O)O;InChI=1S/C6H15NO5S/c1-5(2)7-3-6(8)4-12-13(9,10)11/h5-8H,3-4H2,1-2H3,(H,9,10,11);BioTransformer 3.0
58;Atenolol-M62;C6H15NO5S;213.067096;214.074921;212.059271;CC(C)NCC(CO)OS(O)(=O)=O;InChI=1S/C6H15NO5S/c1-5(2)7-3-6(4-8)12-13(9,10)11/h5-8H,3-4H2,1-2H3,(H,9,10,11);BioTransformer 3.0
59;Atenolol-M63;C8H16N2O4;204.111008;205.118833;203.103183;CC(C)NCC(C(=O)NCC(O)=O)O;InChI=1S/C8H16N2O4/c1-5(2)9-3-6(11)8(14)10-4-7(12)13/h5-6,9,11H,3-4H2,1-2H3,(H,10,14)(H,12,13);BioTransformer 3.0
60;Atenolol-M64;C12H21NO9;323.121634;324.129459;322.113809;CC(C)NCC(C(=O)O)OC1OC(C(O)=O)C(C(C1O)O)O;InChI=1S/C12H21NO9/c1-4(2)13-3-5(10(17)18)21-12-8(16)6(14)7(15)9(22-12)11(19)20/h4-9,12-16H,3H2,1-2H3,(H,17,18)(H,19,20);BioTransformer 3.0
61;Atenolol-M65;C12H21NO9;323.121634;324.129459;322.113809;CC(C)NCC(C(=O)OC1OC(C(O)C(O)C1O)C(O)=O)O;InChI=1S/C12H21NO9/c1-4(2)13-3-5(14)11(20)22-12-8(17)6(15)7(16)9(21-12)10(18)19/h4-9,12-17H,3H2,1-2H3,(H,18,19);BioTransformer 3.0
62;Atenolol-M66;C6H13NO6S;227.046361;228.054186;226.038536;CC(C)NCC(C(=O)O)OS(O)(=O)=O;InChI=1S/C6H13NO6S/c1-4(2)7-3-5(6(8)9)13-14(10,11)12/h4-5,7H,3H2,1-2H3,(H,8,9)(H,10,11,12);BioTransformer 3.0
63;Atenolol-M67;C13H26N2O5;290.184173;291.191998;289.176348;CC(C)NCC(C(=O)OC(C[N+](C)(C)C)CC([O-])=O)O;InChI=1S/C13H26N2O5/c1-9(2)14-7-11(16)13(19)20-10(6-12(17)18)8-15(3,4)5/h9-11,14,16H,6-8H2,1-5H3;BioTransformer 3.0
64;Atenolol-M68;C9H16O7;236.089605;237.09743;235.08178;C(C)(C)OC1OC(C(O)=O)C(C(C1O)O)O;InChI=1S/C9H16O7/c1-3(2)15-9-6(12)4(10)5(11)7(16-9)8(13)14/h3-7,9-12H,1-2H3,(H,13,14);BioTransformer 3.0
65;Atenolol-M69;C3H8O4S;140.014332;141.022157;139.006507;C(C)(C)OS(O)(=O)=O;InChI=1S/C3H8O4S/c1-3(2)7-8(4,5)6/h3H,1-2H3,(H,4,5,6);BioTransformer 3.0
66;Atenolol-M70;C9H17NO7;251.100504;252.108329;250.092679;C(C(C)N)OC1OC(C(O)=O)C(C(C1O)O)O;InChI=1S/C9H17NO7/c1-3(10)2-16-9-6(13)4(11)5(12)7(17-9)8(14)15/h3-7,9,11-13H,2,10H2,1H3,(H,14,15);BioTransformer 3.0
67;Atenolol-M71;C3H9NO4S;155.025231;156.033056;154.017406;C(C(C)N)OS(O)(=O)=O;InChI=1S/C3H9NO4S/c1-3(4)2-8-9(5,6)7/h3H,2,4H2,1H3,(H,5,6,7);BioTransformer 3.0
68;Atenolol-M72;C13H16N2O6;296.100838;297.108663;295.093013;C(C(O)COC1=CC=C(CC(N)=O)C=C1)(=O)NCC(O)=O;InChI=1S/C13H16N2O6/c14-11(17)5-8-1-3-9(4-2-8)21-7-10(16)13(20)15-6-12(18)19/h1-4,10,16H,5-7H2,(H2,14,17)(H,15,20)(H,18,19);BioTransformer 3.0
69;Atenolol-M73;C17H21NO11;415.111464;416.119289;414.103639;C(C(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2)(=O)O;InChI=1S/C17H21NO11/c18-10(19)5-7-1-3-8(4-2-7)27-6-9(15(23)24)28-17-13(22)11(20)12(21)14(29-17)16(25)26/h1-4,9,11-14,17,20-22H,5-6H2,(H2,18,19)(H,23,24)(H,25,26);BioTransformer 3.0
70;Atenolol-M74;C17H21NO11;415.111464;416.119289;414.103639;C(C(O)COC1=CC=C(CC(N)=O)C=C1)(=O)OC2OC(C(O)C(O)C2O)C(O)=O;InChI=1S/C17H21NO11/c18-10(20)5-7-1-3-8(4-2-7)27-6-9(19)16(26)29-17-13(23)11(21)12(22)14(28-17)15(24)25/h1-4,9,11-14,17,19,21-23H,5-6H2,(H2,18,20)(H,24,25);BioTransformer 3.0
71;Atenolol-M75;C17H21NO11;415.111464;416.119289;414.103639;C(C(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1)(=O)O;InChI=1S/C17H21NO11/c19-9(16(24)25)6-28-8-3-1-7(2-4-8)5-10(20)18-15-13(23)11(21)12(22)14(29-15)17(26)27/h1-4,9,11-15,19,21-23H,5-6H2,(H,18,20)(H,24,25)(H,26,27);BioTransformer 3.0
72;Atenolol-M76;C11H13NO8S;319.036191;320.044016;318.028366;C(C(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1)(=O)O;InChI=1S/C11H13NO8S/c12-10(13)5-7-1-3-8(4-2-7)19-6-9(11(14)15)20-21(16,17)18/h1-4,9H,5-6H2,(H2,12,13)(H,14,15)(H,16,17,18);BioTransformer 3.0
73;Atenolol-M77;C18H26N2O7;382.174003;383.181828;381.166178;C(C(O)COC1=CC=C(CC(N)=O)C=C1)(=O)OC(C[N+](C)(C)C)CC([O-])=O;InChI=1S/C18H26N2O7/c1-20(2,3)10-14(9-17(23)24)27-18(25)15(21)11-26-13-6-4-12(5-7-13)8-16(19)22/h4-7,14-15,21H,8-11H2,1-3H3,(H2-,19,22,23,24);BioTransformer 3.0
74;Atenolol-M78;C14H21NO4;267.147059;268.154884;266.139234;CC(C)NCC(O)COC1=CC=C(CC(=O)O)C=C1;InChI=1S/C14H21NO4/c1-10(2)15-8-12(16)9-19-13-5-3-11(4-6-13)7-14(17)18/h3-6,10,12,15-16H,7-9H2,1-2H3,(H,17,18);BioTransformer 3.0
75;Atenolol-M79;C14H22N2O3;266.163043;267.170868;265.155218;CC(C)NCC(O)CC1=C(O)C=CC(=C1)CC(N)=O;InChI=1S/C14H22N2O3/c1-9(2)16-8-12(17)7-11-5-10(6-14(15)19)3-4-13(11)18/h3-5,9,12,16-18H,6-8H2,1-2H3,(H2,15,19);BioTransformer 3.0
76;Atenolol-M80;C14H22N2O4;282.157958;283.165783;281.150133;CC(C)N(CC(O)COC1=CC=C(CC(N)=O)C=C1)O;InChI=1S/C14H22N2O4/c1-10(2)16(19)8-12(17)9-20-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,17,19H,7-9H2,1-2H3,(H2,15,18);BioTransformer 3.0
77;Atenolol-M81;C14H22N2O4;282.157958;283.165783;281.150133;CC(C)NCC(O)COC1=CC=C(CC(NO)=O)C=C1;InChI=1S/C14H22N2O4/c1-10(2)15-8-12(17)9-20-13-5-3-11(4-6-13)7-14(18)16-19/h3-6,10,12,15,17,19H,7-9H2,1-2H3,(H,16,18);BioTransformer 3.0
78;Atenolol-M82;C14H21ClN2O3;300.124071;301.131896;299.116246;CC(C)N(CC(O)COC1=CC=C(CC(N)=O)C=C1)Cl;InChI=1S/C14H21ClN2O3/c1-10(2)17(15)8-12(18)9-20-13-5-3-11(4-6-13)7-14(16)19/h3-6,10,12,18H,7-9H2,1-2H3,(H2,16,19);BioTransformer 3.0
79;Atenolol-M83;C14H21NO4;267.147059;268.154884;266.139234;CC(C)NCC(O)CC1=C(O)C=CC(=C1)CC(=O)O;InChI=1S/C14H21NO4/c1-9(2)15-8-12(16)7-11-5-10(6-14(18)19)3-4-13(11)17/h3-5,9,12,15-17H,6-8H2,1-2H3,(H,18,19);BioTransformer 3.0
80;Atenolol-M84;C13H21NO2;223.157229;224.165054;222.149404;CC(C)NCC(O)COC1=CC=C(C)C=C1;InChI=1S/C13H21NO2/c1-10(2)14-8-12(15)9-16-13-6-4-11(3)5-7-13/h4-7,10,12,14-15H,8-9H2,1-3H3;BioTransformer 3.0
81;Atenolol-M85;C13H21NO3;239.152144;240.159969;238.144319;CC(C)NCC(O)COC1=CC=C(CO)C=C1;InChI=1S/C13H21NO3/c1-10(2)14-7-12(16)9-17-13-5-3-11(8-15)4-6-13/h3-6,10,12,14-16H,7-9H2,1-2H3;BioTransformer 3.0
82;Atenolol-M86;C13H19NO3;237.136494;238.144319;236.128669;CC(C)NCC(O)COC1=CC=C(C=O)C=C1;InChI=1S/C13H19NO3/c1-10(2)14-7-12(16)9-17-13-5-3-11(8-15)4-6-13/h3-6,8,10,12,14,16H,7,9H2,1-2H3;BioTransformer 3.0
83;Atenolol-M87;C8H8O3;152.047345;153.05517;151.03952;OC(=O)CC1=CC=C(O)C=C1;InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11);BioTransformer 3.0
